Date,Customer_ID,Customer,Pricelist,Order_Lines_Product_ID,Product_Display_Name,Product_Sub_Category,Product_Category,Broad_Category,Order_Lines_Unit_Price,Order_Quantity,Subtotal,Total_OrderQuantity,Total_Subtotal
2025-07-03,CUST_031,Heather Gray,Retail,PROD_078,Product 78,Vegetables,Food,Home Essentials,72.09,10,720.9,10,720.9
2025-04-19,CUST_029,Diana Rojas,Wholesale,PROD_019,Product 19,Dairy,Beverage,Grocery,65.82,7,460.74,7,460.74
2025-04-15,CUST_026,Adam Johnson,Wholesale,PROD_023,Product 23,Vegetables,Food,Home Essentials,36.56,4,146.24,4,146.24
2025-07-13,CUST_025,John Guerra,Retail,PROD_052,Product 52,Dairy,Food,Grocery,86.25,10,862.5,10,862.5
2025-07-17,CUST_028,Patrick Robinson,Wholesale,PROD_087,Product 87,Bakery,Food,Home Essentials,40.29,1,40.29,1,40.29
2025-07-08,CUST_004,Bonnie Garrett,Wholesale,PROD_057,Product 57,Vegetables,Beverage,Home Essentials,45.53,3,136.59,3,136.59
2025-08-15,CUST_021,Grace Wright,Retail,PROD_081,Product 81,Vegetables,Beverage,Home Essentials,55.24,6,331.44,6,331.44
2025-04-02,CUST_007,David Collins,Wholesale,PROD_001,Product 1,Fruits,Household,Home Essentials,1.08,1,1.08,1,1.08
2025-03-13,CUST_015,Lindsey Glass,Wholesale,PROD_050,Product 50,Fruits,Beverage,Home Essentials,44.16,1,44.16,1,44.16
2025-04-28,CUST_017,Kimberly Rose,Retail,PROD_002,Product 2,Fruits,Household,Home Essentials,73.24,7,512.68,7,512.68
2025-02-18,CUST_021,Grace Wright,Retail,PROD_096,Product 96,Bakery,Household,Grocery,28.18,3,84.54,3,84.54
2025-07-30,CUST_028,Patrick Robinson,Wholesale,PROD_066,Product 66,Beverages,Household,Grocery,49.5,8,396.0,10,422.42
2025-05-09,CUST_035,Kelsey Shaw,Wholesale,PROD_015,Product 15,Dairy,Beverage,Home Essentials,24.98,1,24.98,1,24.98
